Event Name	Event date	Event Time	Location	
Singapore Chinese Chamber of Commerce & Industry's (SCCCI) Mid-Autumn Festival	2015-09-09	09:52:21	SCCCI	
Singapore Chinese Chamber of Commerce & Industry's (SCCCI) Mid-Autumn Festival	2016-04-02	10:08:21	SCCCI	
Singapore Chinese Chamber of Commerce & Industry's (SCCCI) Mid-Autumn Festival	2017-11-21	09:22:43	SCCCI	
Singapore Economic Policy Forum	2016-02-12	10:23:32	Hall 10, Suntec City Convention Centre	
Singapore Economic Policy Forum	2017-02-22	09:59:01	Hall 10, Suntec City Convention Centre	
Singapore Economic Policy Forum	2018-07-06	08:31:57	Hall 10, Suntec City Convention Centre	
Singapore Insolvency Conference	2016-01-31	08:41:00	SIAC Main Hall	
Singapore Insolvency Conference	2017-07-28	13:44:59	SIAC Main Hall	
Singapore Insolvency Conference	2018-07-10	16:08:45	SIAC Main Hall	
Singapore Internation TVET Conference	2015-07-05	13:58:34	Hall 4, Singapore EXPO	
Singapore Internation TVET Conference	2016-10-04	09:07:39	Hall 4, Singapore EXPO	
Singapore Internation TVET Conference	2017-09-04	13:36:55	Hall 4, Singapore EXPO	
Singapore International Arbitration Centre Hard Talk	2016-12-15	13:00:44	SIAC Main Hall	
Singapore International Arbitration Centre Hard Talk	2017-04-28	12:35:22	SIAC Main Hall	
Singapore International Arbitration Centre Hard Talk	2018-07-29	16:06:00	SIAC Main Hall	
Singapore International Arbitration Centre India Conference	2016-04-01	13:28:17	SIAC Main Hall	
Singapore International Arbitration Centre India Conference	2017-09-03	13:33:26	SIAC Main Hall	
Singapore International Arbitration Centre India Conference	2018-09-14	14:23:39	SIAC Main Hall	
Singapore International Chamber of Commerce Awards	2015-06-13	09:48:05	Hall 2, SICC	
Singapore International Chamber of Commerce Awards	2016-03-11	09:40:14	Hall 2, SICC	
Singapore International Chamber of Commerce Awards	2017-05-10	13:07:03	Hall 2, SICC	
Singapore International Reinsurance Conference	2015-08-29	08:55:25	Hall 2, Marina Bay Sands Convention Centre	
Singapore International Reinsurance Conference	2016-03-05	16:02:38	Hall 2, Marina Bay Sands Convention Centre	
Singapore International Reinsurance Conference	2017-10-18	14:44:10	Hall 2, Marina Bay Sands Convention Centre	
Singapore International Robo Expo	2016-06-23	12:30:00	Hall 4, Singapore EXPO	
Singapore International Robo Expo	2017-10-23	14:44:20	Hall 4, Singapore EXPO	
Singapore International Robo Expo	2018-02-23	15:14:11	Hall 4, Singapore EXPO	
Singapore Legal Futures Conference	2016-05-22	10:30:13	SMU School of Law	
Singapore Legal Futures Conference	2017-06-09	14:43:50	SMU School of Law	
Singapore Legal Futures Conference	2018-01-04	13:15:53	SMU School of Law	
Singapore Management University Retail Centre of Excellence's Asia Retail Leaders Conference	2016-09-13	13:23:04	SMU Ngee Ann Kongsi Auditorium	
Singapore Management University Retail Centre of Excellence's Asia Retail Leaders Conference	2017-05-26	15:07:08	SMU Ngee Ann Kongsi Auditorium	
Singapore Management University Retail Centre of Excellence's Asia Retail Leaders Conference	2018-08-27	09:34:39	SMU Ngee Ann Kongsi Auditorium	
Singapore Police Force Graduation Parade	2015-08-12	10:16:19	Home Team Academy	
Singapore Police Force Graduation Parade	2016-10-20	15:01:35	Home Team Academy	
Singapore Police Force Graduation Parade	2017-07-08	08:09:23	Home Team Academy	
Singapore Police Force Scholarship & Home Team Scholarship Ceremony	2015-12-11	12:04:55	Home Team Academy	
Singapore Police Force Scholarship & Home Team Scholarship Ceremony	2016-10-23	15:33:10	Home Team Academy	
Singapore Police Force Scholarship & Home Team Scholarship Ceremony	2017-04-12	11:20:43	Home Team Academy	
Singapore Positive Education Network Annual Dinner	2015-05-23	10:51:49	Shangri La Hotel, Dining Room	
Singapore Positive Education Network Annual Dinner	2016-02-12	13:10:24	Shangri La Hotel, Dining Room	
Singapore Positive Education Network Annual Dinner	2017-02-19	10:29:31	Shangri La Hotel, Dining Room	
Singapore Road Safety Council Gala Dinner	2015-05-03	15:25:37	Main Ballroom, Shangri La Hotel	
Singapore Road Safety Council Gala Dinner	2016-11-24	06:05:15	Main Ballroom, Shangri La Hotel	
Singapore Road Safety Council Gala Dinner	2017-02-08	15:47:45	Main Ballroom, Shangri La Hotel	
Singapore Summit Welcome Dinner	2015-06-16	12:20:00	Main Ballroom, Shangri La Hotel	
Singapore Summit Welcome Dinner	2016-05-04	12:37:19	Main Ballroom, Shangri La Hotel	
Singapore Summit Welcome Dinner	2017-07-10	08:50:43	Main Ballroom, Shangri La Hotel	
Singapore University of Technology and Design (SUTD) Commencement Ceremony	2015-04-12	07:10:35	SUTD Main Auditorium	
Singapore University of Technology and Design (SUTD) Commencement Ceremony	2016-01-03	08:33:46	SUTD Main Auditorium	
Singapore University of Technology and Design (SUTD) Commencement Ceremony	2017-10-13	16:42:02	SUTD Main Auditorium	
Singapore-Industry Scholarship Award Ceremony	2015-11-01	16:14:57	Hall 3, MOE	
Singapore-Industry Scholarship Award Ceremony	2016-04-08	16:15:41	Hall 3, MOE	
Singapore-Industry Scholarship Award Ceremony	2017-06-05	15:42:44	Hall 3, MOE	
Singapore-International Energy Agency Forum	2016-05-10	06:27:59	Hall 5, Singapore EXPO	
Singapore-International Energy Agency Forum	2017-06-11	07:34:28	Hall 5, Singapore EXPO	
Singapore-International Energy Agency Forum	2018-04-27	16:25:08	Hall 5, Singapore EXPO	
Singapore's Best Workplaces Awards	2016-11-02	15:57:47	Hall 2, Marina Bay Sands Convention Centre	
Singapore's Best Workplaces Awards	2017-08-03	12:11:56	Hall 2, Marina Bay Sands Convention Centre	
Singapore's Best Workplaces Awards	2018-10-03	06:05:38	Hall 2, Marina Bay Sands Convention Centre	
SIT Graduation Ceremony	2016-10-20	10:31:33	SIT Main Auditorium	
SIT Graduation Ceremony	2017-01-13	13:00:15	SIT Main Auditorium	
SIT Graduation Ceremony	2018-01-12	06:02:05	SIT Main Auditorium	
SkillsFuture Earn and Learn Carnival	2015-06-25	09:29:40	Marina Bay Sands Open Field	
SkillsFuture Earn and Learn Carnival	2016-04-14	08:07:41	Marina Bay Sands Open Field	
SkillsFuture Earn and Learn Carnival	2017-03-11	07:46:45	Marina Bay Sands Open Field	
SkillsFuture Festival @ SMU	2015-11-11	15:29:53	SMU Campus Green	
SkillsFuture Festival @ SMU	2016-06-25	07:52:31	SMU Campus Green	
SkillsFuture Festival @ SMU	2017-08-10	11:55:05	SMU Campus Green	
Smart Nation Initiative at IoT Asia	2016-09-15	08:28:35	Hall 4 and 5, Suntec City Convention Centre	
Smart Nation Initiative at IoT Asia	2017-02-21	12:58:38	Hall 4 and 5, Suntec City Convention Centre	
Smart Nation Initiative at IoT Asia	2018-06-24	15:53:45	Hall 4 and 5, Suntec City Convention Centre	
Smart Nation Innovations Week Opening Symposium	2016-07-12	15:27:32	Hall 2 and 3, Suntec City Convention Centre	
Smart Nation Innovations Week Opening Symposium	2017-11-26	10:41:20	Hall 2 and 3, Suntec City Convention Centre	
Smart Nation Innovations Week Opening Symposium	2018-08-29	13:32:47	Hall 2 and 3, Suntec City Convention Centre	
SMCCI Food and Fashion Festival	2016-10-07	09:11:18	Chinatown Centre	
SMCCI Food and Fashion Festival	2017-06-05	11:59:17	Chinatown Centre	
SMCCI Food and Fashion Festival	2018-09-23	12:20:05	Chinatown Centre	
SMU Academy Anniversary	2015-11-30	11:51:06	SMU Hall	
SMU Academy Anniversary	2016-10-12	09:29:36	SMU Hall	
SMU Academy Anniversary	2017-02-28	15:57:47	SMU Hall	
SMU Award Ceremony	2016-04-17	14:29:30	SMU School of Law	
SMU Award Ceremony	2017-11-03	15:33:07	SMU School of Law	
SMU Award Ceremony	2018-06-27	11:16:45	SMU School of Law	
SMU Commencement Opening Ceremony	2016-05-21	16:40:23	SMU School of Law	
SMU Commencement Opening Ceremony	2017-07-20	15:06:06	SMU School of Law	
SMU Commencement Opening Ceremony	2018-02-10	11:47:59	SMU School of Law	
SMU Leadership Symposium	2015-07-23	16:22:48	SMU Administration Building	
SMU Leadership Symposium	2016-11-16	08:18:59	SMU Administration Building	
SMU Leadership Symposium	2017-01-05	15:28:50	SMU Administration Building	
SMU Leadeship Symposium Dinner Gala	2016-10-15	16:58:29	SMU School of Law	
SMU Patron's Day	2015-06-18	09:30:37	SMU Campus Green	
SMU Patron's Day	2016-05-05	09:57:44	SMU Campus Green	
SMU Patron's Day	2017-04-20	12:24:59	SMU Campus Green	
SMU SIS Annual Awards	2016-07-20	08:42:43	SMU Ngee Ann Kongsi Auditorium	
Social Service Summit	2016-10-15	06:41:22	Hall 6, Suntec City Convention Centre	
Social Service Summit	2017-08-28	15:25:59	Hall 6, Suntec City Convention Centre	
Social Service Summit	2018-10-02	06:03:54	Hall 6, Suntec City Convention Centre	
South Asian Diaspora Convention	2016-12-28	07:05:29	Hall 4, Suntec City Convention Centre	
South Asian Diaspora Convention	2017-06-17	12:10:59	Hall 4, Suntec City Convention Centre	
South Asian Diaspora Convention	2018-03-11	09:50:50	Hall 4, Suntec City Convention Centre	
Special Awards Presentation Ceremony	2015-12-17	07:12:23	Main Auditorium ITE Central	
Special Awards Presentation Ceremony	2016-12-14	14:47:51	Main Auditorium ITE Central	
Special Awards Presentation Ceremony	2017-10-25	13:53:24	Main Auditorium ITE Central	
SPED Conference	2015-07-07	10:35:12	Grand Copthorne WaterFront Hotel	
SPED Conference	2016-10-30	12:06:48	Grand Copthorne WaterFront Hotel	
SPED Conference	2017-06-19	08:50:14	Grand Copthorne WaterFront Hotel	
STACK Developer Conference	2016-08-18	11:37:17	Hall 2 and 3, Suntec City Convention Centre	
STACK Developer Conference	2017-08-31	10:47:12	Hall 2 and 3, Suntec City Convention Centre	
STACK Developer Conference	2018-07-05	13:25:42	Hall 2 and 3, Suntec City Convention Centre	
STEP Asia Conference	2016-03-08	15:53:57	Hall 1, Singapore EXPO	
STEP Asia Conference	2017-04-22	13:00:37	Hall 1, Singapore EXPO	
STEP Asia Conference	2018-07-22	08:34:59	Hall 1, Singapore EXPO	
SUSS Life Annual Dinner	2015-12-10	13:41:54	Main Auditorium, SUSS	
SUSS Life Annual Dinner	2016-10-05	14:31:29	Main Auditorium, SUSS	
SUSS Life Annual Dinner	2017-08-26	06:13:44	Main Auditorium, SUSS	
Tan Kah Kee Foundation Celebrations	2015-05-29	10:25:52	JW Marriot Hotel, South Beach	
Tan Kah Kee Foundation Celebrations	2016-03-27	09:29:22	JW Marriot Hotel, South Beach	
Tan Kah Kee Foundation Celebrations	2017-12-29	08:33:54	JW Marriot Hotel, South Beach	
Teaching Scholarship Presentation Ceremony	2015-12-27	16:46:03	Hall 2, MOE	
Teaching Scholarship Presentation Ceremony	2016-08-13	15:50:10	Hall 2, MOE	
Teaching Scholarship Presentation Ceremony	2017-08-22	15:51:35	Hall 2, MOE	
The Girls' Brigade Singapore Anniversary	2015-08-31	15:26:39	Main Hall, Girls' Brigade	
The Girls' Brigade Singapore Anniversary	2016-07-17	06:14:01	Main Hall, Girls' Brigade	
The Girls' Brigade Singapore Anniversary	2017-02-25	16:27:58	Main Hall, Girls' Brigade	
The Hotel Security Conference and Security Awards Presentation	2016-03-22	08:21:35	Hall 2, Marina Bay Sands Convention Centre	
The Hotel Security Conference and Security Awards Presentation	2017-12-19	13:33:10	Hall 2, Marina Bay Sands Convention Centre	
The Hotel Security Conference and Security Awards Presentation	2018-03-25	09:30:43	Hall 2, Marina Bay Sands Convention Centre	
The ISCA PAIB Conference	2015-09-21	15:47:13	Hall 3, Singapore EXPO	
The ISCA PAIB Conference	2016-12-13	06:24:01	Hall 3, Singapore EXPO	
The ISCA PAIB Conference	2017-05-07	08:00:06	Hall 3, Singapore EXPO	
The MSF Volunteer Awards	2016-05-05	07:23:21	MSF Main Hall	
The MSF Volunteer Awards	2017-06-15	15:13:52	MSF Main Hall	
The MSF Volunteer Awards	2018-05-27	08:07:38	MSF Main Hall	
The Rehabilitation And Care Conference	2016-06-01	16:54:19	Hall 5, Suntec City Convention Centre	
The Rehabilitation And Care Conference	2017-07-20	08:17:11	Hall 5, Suntec City Convention Centre	
The Rehabilitation And Care Conference	2018-03-30	11:08:55	Hall 5, Suntec City Convention Centre	
The Singapore Civil Defence Force Workplan Seminar	2016-06-05	16:28:20	Hall 4, Suntec City Convention Centre	
The Singapore Civil Defence Force Workplan Seminar	2017-08-13	13:27:28	Hall 4, Suntec City Convention Centre	
The Singapore Civil Defence Force Workplan Seminar	2018-06-06	14:06:41	Hall 4, Suntec City Convention Centre	
The Singapore Workplace Safety and Health Conference	2016-04-13	08:55:42	Hall 6, EXPO	
The Singapore Workplace Safety and Health Conference	2017-10-15	16:30:17	Hall 6, EXPO	
The Singapore Workplace Safety and Health Conference	2018-07-09	09:00:26	Hall 6, EXPO	
The Singapore-Industry Scholarship (SgIS) Award Ceremony	2015-05-05	08:24:55	Hall 4, IMDA	
The Singapore-Industry Scholarship (SgIS) Award Ceremony	2016-06-09	16:00:04	Hall 4, IMDA	
The Singapore-Industry Scholarship (SgIS) Award Ceremony	2017-05-28	07:47:15	Hall 4, IMDA	
The Straits Times Global Outlook	2016-12-02	06:56:17	Main Ballroom, Copthrone King's Hotel Singapore	
The Straits Times Global Outlook	2017-07-07	14:07:29	Main Ballroom, Copthrone King's Hotel Singapore	
The Straits Times Global Outlook	2018-02-16	07:29:30	Main Ballroom, Copthrone King's Hotel Singapore	
Times Higher Education World Academic Summit 	2015-05-24	08:29:20	Hall 2 and 3, Marina Bay Sands Convention Centre	
Times Higher Education World Academic Summit 	2016-01-08	13:51:08	Hall 2 and 3, Marina Bay Sands Convention Centre	
Times Higher Education World Academic Summit 	2017-10-07	15:53:20	Hall 2 and 3, Marina Bay Sands Convention Centre	
Tourism Transformation 	2015-04-27	10:14:21	SMU School Of Law, Main Hall	
Tourism Transformation 	2016-12-21	09:53:21	SMU School Of Law, Main Hall	
Tourism Transformation 	2017-04-19	14:53:26	SMU School Of Law, Main Hall	
UNCITRAL ABLI Emergence Conference	2016-02-23	06:05:19	Hall 8, Singapore EXPO	
UNCITRAL ABLI Emergence Conference	2017-11-02	11:32:56	Hall 8, Singapore EXPO	
UNCITRAL ABLI Emergence Conference	2018-04-24	09:00:28	Hall 8, Singapore EXPO	
United Nations Discussions	2015-06-02	10:16:44	Main Ballroom, Shangri La Hotel	
United Nations Discussions	2016-04-25	06:30:55	Main Ballroom, Shangri La Hotel	
United Nations Discussions	2017-01-04	12:08:34	Main Ballroom, Shangri La Hotel	
World Blood Donor Day	2015-04-16	11:31:02	Hall 5, Suntec City Convention Centre	
World Blood Donor Day	2016-02-06	07:38:12	Hall 5, Suntec City Convention Centre	
World Blood Donor Day	2017-03-14	10:11:27	Hall 5, Suntec City Convention Centre	
World Environment Day 	2016-06-08	12:23:40	Hall 1, Marina Bay Sands Convention Centre	
World Environment Day 	2017-11-20	09:04:45	Hall 1, Marina Bay Sands Convention Centre	
World Environment Day 	2018-04-01	12:44:44	Hall 1, Marina Bay Sands Convention Centre	
Yellow Ribbon Celebrating Second Chances Awards Ceremony	2016-07-30	07:12:24	Hall 3, Suntec City Convention Centre	
Yellow Ribbon Celebrating Second Chances Awards Ceremony	2017-10-09	10:37:09	Hall 3, Suntec City Convention Centre	
Yellow Ribbon Celebrating Second Chances Awards Ceremony	2018-07-11	06:15:41	Hall 3, Suntec City Convention Centre	
Yellow Ribbon Conference	2015-07-31	06:26:50	Hall 5, Suntec City Convention Centre	
Yellow Ribbon Conference	2016-06-12	07:04:40	Hall 5, Suntec City Convention Centre	
Yellow Ribbon Conference	2017-03-23	09:41:28	Hall 5, Suntec City Convention Centre	
Young Singapore International Arbitration Centre Conference	2016-10-10	10:50:14	SIAC Main Hall	
Young Singapore International Arbitration Centre Conference	2017-04-05	16:00:28	SIAC Main Hall	
Young Singapore International Arbitration Centre Conference	2018-05-02	10:06:11	SIAC Main Hall	
Youth Corps Leaders Commencement Ceremony	2016-12-15	16:45:30	MCCY Main Auditorium	
Youth Corps Leaders Commencement Ceremony	2017-05-22	16:24:29	MCCY Main Auditorium	
Youth Corps Leaders Commencement Ceremony	2018-01-28	13:01:17	MCCY Main Auditorium	
